policy,rep,cumulative_reward,expected_cumulative_reward,oracle_regret,share_arm0,share_arm1,share_arm2,share_arm3
fixed,0,1433.0,1378.1020993230832,421.211827028323,0.24825,0.258,0.24425,0.2495
fixed,1,1354.0,1385.6106804276033,420.98668292540304,0.25875,0.2565,0.25,0.23475
fixed,2,1324.0,1344.322690395314,411.2279170758532,0.25925,0.245,0.24675,0.249
fixed,3,1386.0,1371.3188937341984,414.93428700761535,0.251,0.254,0.2385,0.2565
fixed,4,1344.0,1376.9211699879795,413.7648046411064,0.2505,0.24225,0.23375,0.2735
fixed,5,1376.0,1376.1711772596211,406.7311708732544,0.24875,0.2445,0.24575,0.261
fixed,6,1386.0,1394.6904009744571,412.686593238465,0.25375,0.25775,0.24525,0.24325
fixed,7,1346.0,1375.4225128135877,414.681126964221,0.246,0.235,0.26575,0.25325
fixed,8,1403.0,1377.7262683706838,403.2238798573416,0.24425,0.2535,0.23625,0.266
fixed,9,1393.0,1389.221262880959,417.4558036835659,0.2535,0.2555,0.2445,0.2465
fixed,10,1440.0,1379.322092978401,405.418168153665,0.2405,0.25075,0.24975,0.259
fixed,11,1401.0,1384.1852608871764,415.3058306086799,0.2515,0.25,0.25075,0.24775
fixed,12,1358.0,1370.4107030490622,412.721778046324,0.246,0.26225,0.24875,0.243
fixed,13,1366.0,1401.2498788217924,404.0252700421622,0.242,0.257,0.253,0.248
fixed,14,1404.0,1380.9783911258992,411.689497111698,0.247,0.2515,0.2485,0.253
fixed,15,1409.0,1383.6962546777347,422.6382275013103,0.26075,0.23825,0.24925,0.25175
fixed,16,1354.0,1377.4412020555003,401.66969191675446,0.24425,0.24525,0.2565,0.254
fixed,17,1412.0,1384.497612486173,427.300143955606,0.25825,0.246,0.244,0.25175
fixed,18,1367.0,1387.133650696198,405.7260741264108,0.23975,0.26375,0.255,0.2415
fixed,19,1421.0,1389.1621204954529,416.5174467831717,0.25325,0.25775,0.2465,0.2425
fixed,20,1393.0,1389.135979466795,412.0442656968173,0.2485,0.255,0.24925,0.24725
fixed,21,1424.0,1386.6799652444631,402.1069558471373,0.24575,0.25575,0.252,0.2465
fixed,22,1421.0,1391.362181518292,399.06607450873696,0.2325,0.26225,0.2455,0.25975
fixed,23,1388.0,1379.863572844928,423.7014445482861,0.25725,0.243,0.247,0.25275
fixed,24,1335.0,1373.8751152188856,407.5603965283684,0.25425,0.246,0.2545,0.24525
